0000 - *CLS             *CLS        :*CLS
006D - SA?              SA?         :CALCulate:ADD:SA?
006E - SB               SB          :CALCulate:ADD:SB
006F - SB?              SB?         :CALCulate:ADD:SB?
0070 - INVert           INV         :CALCulate:ADD:INVert
0071 - INVert?          INV?        :CALCulate:ADD:INVert?
0072 - VSCale           VSC         :CALCulate:ADD:VSCale
0073 - VSCale?          VSC?        :CALCulate:ADD:VSCale?
0074 - VOFFset          VOFF        :CALCulate:ADD:VOFFset
0075 - VOFFset?         VOFF?       :CALCulate:ADD:VOFFset?
0076 - SA               SA          :CALCulate:SUB:SA
0077 - SA?              SA?         :CALCulate:SUB:SA?
0078 - SB               SB          :CALCulate:SUB:SB
0079 - SB?              SB?         :CALCulate:SUB:SB?
007A - INVert           INV         :CALCulate:SUB:INVert
007B - INVert?          INV?        :CALCulate:SUB:INVert?
007C - VSCale           VSC         :CALCulate:SUB:VSCale
007D - VSCale?          VSC?        :CALCulate:SUB:VSCale?
007E - VOFFset          VOFF        :CALCulate:SUB:VOFFset
007F - VOFFset?         VOFF?       :CALCulate:SUB:VOFFset?
0080 - SA               SA          :CALCulate:MULTiply:SA
0081 - SA?              SA?         :CALCulate:MULTiply:SA?
0082 - SB               SB          :CALCulate:MULTiply:SB
0083 - SB?              SB?         :CALCulate:MULTiply:SB?
0084 - INVert           INV         :CALCulate:MULTiply:INVert
0085 - INVert?          INV?        :CALCulate:MULTiply:INVert?
0086 - VSCale           VSC         :CALCulate:MULTiply:VSCale
0087 - VSCale?          VSC?        :CALCulate:MULTiply:VSCale?
0088 - VOFFset          VOFF        :CALCulate:MULTiply:VOFFset
0089 - VOFFset?         VOFF?       :CALCulate:MULTiply:VOFFset?
008A - SA               SA          :CALCulate:DIVision:SA
008B - SA?              SA?         :CALCulate:DIVision:SA?
008C - SB               SB          :CALCulate:DIVision:SB
008D - SB?              SB?         :CALCulate:DIVision:SB?
008E - INVert           INV         :CALCulate:DIVision:INVert
008F - INVert?          INV?        :CALCulate:DIVision:INVert?
0090 - VSCale           VSC         :CALCulate:DIVision:VSCale
0091 - VSCale?          VSC?        :CALCulate:DIVision:VSCale?
0092 - VOFFset          VOFF        :CALCulate:DIVision:VOFFset
0093 - VOFFset?         VOFF?       :CALCulate:DIVision:VOFFset?
0094 - SOURce           SOUR        :CALCulate:FFT:SOURce
0095 - SOURce?          SOUR?       :CALCulate:FFT:SOURce?
0096 - WINDow           WIND        :CALCulate:FFT:WINDow
0097 - WINDow?          WIND?       :CALCulate:FFT:WINDow?
0098 - SPLit            SPL         :CALCulate:FFT:SPLit
0099 - SPLit?           SPL?        :CALCulate:FFT:SPLit?
009A - VSMode           VSM         :CALCulate:FFT:VSMode
009B - VSMode?          VSM?        :CALCulate:FFT:VSMode?
009C - VSCale           VSC         :CALCulate:FFT:VSCale
009D - VSCale?          VSC?        :CALCulate:FFT:VSCale?
009E - HSCale           HSC         :CALCulate:FFT:HSCale
009F - HSCale?          HSC?        :CALCulate:FFT:HSCale?
00A0 - VOFFset          VOFF        :CALCulate:FFT:VOFFset
00A1 - VOFFset?         VOFF?       :CALCulate:FFT:VOFFset?
00A2 - HOFFset          HOFF        :CALCulate:FFT:HOFFset
00A3 - HOFFset?         HOFF?       :CALCulate:FFT:HOFFset?
00A4 - HSPan            HSP         :CALCulate:FFT:HSPan
00A5 - HSPan?           HSP?        :CALCulate:FFT:HSPan?
00A6 - HCENter          HCEN        :CALCulate:FFT:HCENter
00A7 - HCENter?         HCEN?       :CALCulate:FFT:HCENter?
00A8 - SA               SA          :CALCulate:LOGic:SA
00A9 - SA?              SA?         :CALCulate:LOGic:SA?
00AA - SB               SB          :CALCulate:LOGic:SB
00AB - SB?              SB?         :CALCulate:LOGic:SB?
00AC - INVert           INV         :CALCulate:LOGic:INVert
00AD - INVert?          INV?        :CALCulate:LOGic:INVert?
00AE - VSCale           VSC         :CALCulate:LOGic:VSCale
00AF - VSCale?          VSC?        :CALCulate:LOGic:VSCale?
00B0 - OPERator         OPER        :CALCulate:LOGic:OPERator
00B1 - OPERator?        OPER?       :CALCulate:LOGic:OPERator?
00B2 - VOFFset          VOFF        :CALCulate:LOGic:VOFFset
00B3 - VOFFset?         VOFF?       :CALCulate:LOGic:VOFFset?
00B4 - ATHReshold       ATHR        :CALCulate:LOGic:ATHReshold
00B5 - ATHReshold?      ATHR?       :CALCulate:LOGic:ATHReshold?
00B6 - BTHReshold       BTHR        :CALCulate:LOGic:BTHReshold
00B7 - BTHReshold?      BTHR?       :CALCulate:LOGic:BTHReshold?
00B8 - EXPRession       EXPR        :CALCulate:ADVanced:EXPRession
00B9 - EXPRession?      EXPR?       :CALCulate:ADVanced:EXPRession?
00BA - INVert           INV         :CALCulate:ADVanced:INVert
00BB - INVert?          INV?        :CALCulate:ADVanced:INVert?
00BC - VARiable1        VAR1        :CALCulate:ADVanced:VARiable1
00BD - VARiable1?       VAR1?       :CALCulate:ADVanced:VARiable1?
00BE - VARiable2        VAR2        :CALCulate:ADVanced:VARiable2
00BF - VARiable2?       VAR2?       :CALCulate:ADVanced:VARiable2?
00C0 - VSCale           VSC         :CALCulate:ADVanced:VSCale
00C1 - VSCale?          VSC?        :CALCulate:ADVanced:VSCale?
00C2 - VOFFset          VOFF        :CALCulate:ADVanced:VOFFset
00C3 - VOFFset?         VOFF?       :CALCulate:ADVanced:VOFFset?
00C4 - DATE?            DATE?       :CALibrate:DATE?
00C5 - STARt            STAR        :CALibrate:STARt
00C6 - TIME?            TIME?       :CALibrate:TIME?
00C7 - QUIT             QUIT        :CALibrate:QUIT
00C8 - PROGress?        PROG?       :CALibrate:PROGress?
00C9 - RESume           RES         :CALibrate:RESume
00CA - DATA             DATA        :CALibrate:DATA
00CB - DATA?            DATA?       :CALibrate:DATA?
00CC - BWLimit          BWL         :CHANnel<n>:BWLimit
00CD - BWLimit?         BWL?        :CHANnel<n>:BWLimit?
00CE - COUPling         COUP        :CHANnel<n>:COUPling
00CF - COUPling?        COUP?       :CHANnel<n>:COUPling?
00D0 - DISPlay          DISP        :CHANnel<n>:DISPlay
00D1 - DISPlay?         DISP?       :CHANnel<n>:DISPlay?
00D2 - INVert           INV         :CHANnel<n>:INVert
00D3 - INVert?          INV?        :CHANnel<n>:INVert?
00D4 - IMPedance        IMP         :CHANnel<n>:IMPedance
00D5 - IMPedance?       IMP?        :CHANnel<n>:IMPedance?
00D6 - OFFSet           OFFS        :CHANnel<n>:OFFSet
00D7 - OFFSet?          OFFS?       :CHANnel<n>:OFFSet?
00D8 - SCALe            SCAL        :CHANnel<n>:SCALe
00D9 - SCALe?           SCAL?       :CHANnel<n>:SCALe?
00DA - TYPE             TYPE        :CHANnel<n>:TYPE
00DB - TYPE?            TYPE?       :CHANnel<n>:TYPE?
00DC - PROBe            PROB        :CHANnel<n>:PROBe
00DD - PROBe?           PROB?       :CHANnel<n>:PROBe?
00DE - UNITs            UNIT        :CHANnel<n>:UNITs
00DF - UNITs?           UNIT?       :CHANnel<n>:UNITs?
00E0 - VERNier          VERN        :CHANnel<n>:VERNier
00E1 - VERNier?         VERN?       :CHANnel<n>:VERNier?
00E2 - TCAL             TCAL        :CHANnel<n>:TCAL
00E3 - TCAL?            TCAL?       :CHANnel<n>:TCAL?
00E4 - MODE             MODE        :CURSor:MODE
00E5 - MODE?            MODE?       :CURSor:MODE?
00E6 - SOURce           SOUR        :CURSor:MANual:SOURce
00E7 - SOURce?          SOUR?       :CURSor:MANual:SOURce?
00E8 - TUNit            TUN         :CURSor:MANual:TUNit
00E9 - TUNit?           TUN?        :CURSor:MANual:TUNit?
00EA - VUNit            VUN         :CURSor:MANual:VUNit
00EB - VUNit?           VUN?        :CURSor:MANual:VUNit?
00EC - TYPE             TYPE        :CURSor:MANual:TYPE
00ED - TYPE?            TYPE?       :CURSor:MANual:TYPE?
00EE - XDELta?          XDEL?       :CURSor:MANual:XDELta?
00EF - YDELta?          YDEL?       :CURSor:MANual:YDELta?
00F0 - CAX              CAX         :CURSor:MANual:CAX
00F1 - CAX?             CAX?        :CURSor:MANual:CAX?
00F2 - CBX              CBX         :CURSor:MANual:CBX
00F3 - CBX?             CBX?        :CURSor:MANual:CBX?
00F4 - CAY              CAY         :CURSor:MANual:CAY
00F5 - CAY?             CAY?        :CURSor:MANual:CAY?
00F6 - CBY              CBY         :CURSor:MANual:CBY
00F7 - CBY?             CBY?        :CURSor:MANual:CBY?
00F8 - AXValue?         AXV?        :CURSor:MANual:AXValue?
00F9 - AYValue?         AYV?        :CURSor:MANual:AYValue?
00FA - BXValue?         BXV?        :CURSor:MANual:BXValue?
00FB - BYValue?         BYV?        :CURSor:MANual:BYValue?
00FC - IXDelta?         IXD?        :CURSor:MANual:IXDelta?
00FD - IYDelta?         IYD?        :CURSor:MANual:IYDelta?
00FE - SOURce1          SOUR1       :CURSor:TRACk:SOURce1
00FF - SOURce1?         SOUR1?      :CURSor:TRACk:SOURce1?
0100 - SOURce2          SOUR2       :CURSor:TRACk:SOURce2
0101 - SOURce2?         SOUR2?      :CURSor:TRACk:SOURce2?
0102 - XDELta?          XDEL?       :CURSor:TRACk:XDELta?
0103 - YDELta?          YDEL?       :CURSor:TRACk:YDELta?
0104 - CAX              CAX         :CURSor:TRACk:CAX
0105 - CAX?             CAX?        :CURSor:TRACk:CAX?
0106 - CBX              CBX         :CURSor:TRACk:CBX
0107 - CBX?             CBX?        :CURSor:TRACk:CBX?
0108 - CAY?             CAY?        :CURSor:TRACk:CAY?
0109 - CBY?             CBY?        :CURSor:TRACk:CBY?
010A - AXValue?         AXV?        :CURSor:TRACk:AXValue?
010B - BXValue?         BXV?        :CURSor:TRACk:BXValue?
010C - AYValue?         AYV?        :CURSor:TRACk:AYValue?
010D - BYValue?         BYV?        :CURSor:TRACk:BYValue?
010E - IXDelta?         IXD?        :CURSor:TRACk:IXDelta?
010F - CLEar            CLE         :DISPlay:CLEar
0110 - TYPE             TYPE        :DISPlay:TYPE
0111 - TYPE?            TYPE?       :DISPlay:TYPE?
0112 - GBRightness      GBR         :DISPlay:GBRightness
0113 - GBRightness?     GBR?        :DISPlay:GBRightness?
0114 - TIME             TIME        :DISPlay:GRADing:TIME
0115 - TIME?            TIME?       :DISPlay:GRADing:TIME?
0116 - WBRightness      WBR         :DISPlay:WBRightness
0117 - WBRightness?     WBR?        :DISPlay:WBRightness?
0118 - GRID             GRID        :DISPlay:GRID
0119 - GRID?            GRID?       :DISPlay:GRID?
011A - MPERsistence     MPER        :DISPlay:MPERsistence
011B - MPERsistence?    MPER?       :DISPlay:MPERsistence?
011C - DATA?            DATA?       :DISPlay:DATA?
011D - FEND             FEND        :FUNCtion:WRECord:FEND
011E - FEND?            FEND?       :FUNCtion:WRECord:FEND?
011F - FMAX?            FMAX?       :FUNCtion:WRECord:FMAX?
0120 - OPERate          OPER        :FUNCtion:WRECord:OPERate
0121 - OPERate?         OPER?       :FUNCtion:WRECord:OPERate?
0122 - INTerval         INT         :FUNCtion:WRECord:INTerval
0123 - INTerval?        INT?        :FUNCtion:WRECord:INTerval?
0124 - FCURrent         FCUR        :FUNCtion:WREPlay:FCURrent
0125 - FCURrent?        FCUR?       :FUNCtion:WREPlay:FCURrent?
0126 - FEND             FEND        :FUNCtion:WREPlay:FEND
